# Download from:
# https://www.unicode.org/Public/UNIDATA/Blocks.txt

# Blocks-15.0.0.txt
# Date: 2022-01-28, 20:58:00 GMT [KW]
# © 2022 Unicode®, Inc.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
# For documentation, see https://www.unicode.org/reports/tr44/
#
# Format:
# Start Code..End Code; Block Name

# ================================================

# Note:   When comparing block names, casing, whitespace, hyphens,
#         and underbars are ignored.
#         For example, "Latin Extended-A" and "latin extended a" are equivalent.
#         For more information on the comparison of property values,
#            see UAX #44: https://www.unicode.org/reports/tr44/
#
#  All block ranges start with a value where (cp MOD 16) = 0,
#  and end with a value where (cp MOD 16) = 15. In other words,
#  the last hexadecimal digit of the start of range is ...0
#  and the last hexadecimal digit of the end of range is ...F.
#  This constraint on block ranges guarantees that allocations
#  are done in terms of whole columns, and that code chart display
#  never involves splitting columns in the charts.
#
#  All code points not explicitly listed for Block
#  have the value No_Block.

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block

0000..007F; Basic Latin; 基本拉丁
0080..00FF; Latin-1 Supplement; 拉丁-1 增补
0100..017F; Latin Extended-A; 拉丁扩充-A
0180..024F; Latin Extended-B; 拉丁扩充-B
0250..02AF; IPA Extensions; 国际音标扩充
02B0..02FF; Spacing Modifier Letters; 有距修饰字母
0300..036F; Combining Diacritical Marks; 结合变音记号
0370..03FF; Greek and Coptic; 希腊与科普特
0400..04FF; Cyrillic; 西里尔
0500..052F; Cyrillic Supplement; 西里尔增补
0530..058F; Armenian; 亚美尼亚
0590..05FF; Hebrew; 希伯来
0600..06FF; Arabic; 阿拉伯
0700..074F; Syriac; 叙利亚
0750..077F; Arabic Supplement; 阿拉伯增补
0780..07BF; Thaana; 塔纳
07C0..07FF; NKo; 恩科
0800..083F; Samaritan; 撒马利亚
0840..085F; Mandaic; 曼德恩
0860..086F; Syriac Supplement; 叙利亚增补
0870..089F; Arabic Extended-B; 阿拉伯扩充-B
08A0..08FF; Arabic Extended-A; 阿拉伯扩充-A
0900..097F; Devanagari; 天城体
0980..09FF; Bengali; 孟加拉
0A00..0A7F; Gurmukhi; 果鲁穆奇
0A80..0AFF; Gujarati; 古吉拉特
0B00..0B7F; Oriya; 奥里亚
